"object_type","schema_name","object_name","sub_object_name","definition","additional_info"
"COLUMN","auth","identities","id","uuid NOT NULL DEFAULT gen_random_uuid()","null"
"COLUMN","auth","identities","identity_data","jsonb NOT NULL","null"
"COLUMN","auth","identities","last_sign_in_at","timestamp with time zone","null"
"COLUMN","auth","identities","provider","text NOT NULL","null"
"COLUMN","auth","identities","provider_id","text NOT NULL","null"
"COLUMN","auth","identities","updated_at","timestamp with time zone","null"
"COLUMN","auth","identities","user_id","uuid NOT NULL","null"
"COLUMN","auth","instances","created_at","timestamp with time zone","null"
"COLUMN","auth","instances","id","uuid NOT NULL","null"
"COLUMN","auth","instances","raw_base_config","text","null"
"COLUMN","auth","instances","updated_at","timestamp with time zone","null"
"COLUMN","auth","instances","uuid","uuid","null"
"COLUMN","auth","mfa_amr_claims","authentication_method","text NOT NULL","null"
"COLUMN","auth","mfa_amr_claims","created_at","timestamp with time zone NOT NULL","null"
"COLUMN","auth","mfa_amr_claims","id","uuid NOT NULL","null"
"COLUMN","auth","mfa_amr_claims","session_id","uuid NOT NULL","null"
"COLUMN","auth","mfa_amr_claims","updated_at","timestamp with time zone NOT NULL","null"
"COLUMN","auth","mfa_challenges","created_at","timestamp with time zone NOT NULL","null"
"COLUMN","auth","mfa_challenges","factor_id","uuid NOT NULL","null"
"COLUMN","auth","mfa_challenges","id","uuid NOT NULL","null"
"COLUMN","auth","mfa_challenges","ip_address","inet NOT NULL","null"
"COLUMN","auth","mfa_challenges","otp_code","text","null"
"COLUMN","auth","mfa_challenges","verified_at","timestamp with time zone","null"
"COLUMN","auth","mfa_challenges","web_authn_session_data","jsonb","null"
"COLUMN","auth","mfa_factors","created_at","timestamp with time zone NOT NULL","null"
"COLUMN","auth","mfa_factors","factor_type","auth.factor_type NOT NULL","null"
"COLUMN","auth","mfa_factors","friendly_name","text","null"
"COLUMN","auth","mfa_factors","id","uuid NOT NULL","null"
"COLUMN","auth","mfa_factors","last_challenged_at","timestamp with time zone","null"
"COLUMN","auth","mfa_factors","phone","text","null"
"COLUMN","auth","mfa_factors","secret","text","null"
"COLUMN","auth","mfa_factors","status","auth.factor_status NOT NULL","null"
"COLUMN","auth","mfa_factors","updated_at","timestamp with time zone NOT NULL","null"
"COLUMN","auth","mfa_factors","user_id","uuid NOT NULL","null"
"COLUMN","auth","mfa_factors","web_authn_aaguid","uuid","null"
"COLUMN","auth","mfa_factors","web_authn_credential","jsonb","null"
"COLUMN","auth","one_time_tokens","created_at","timestamp without time zone NOT NULL DEFAULT now()","null"
"COLUMN","auth","one_time_tokens","id","uuid NOT NULL","null"
"COLUMN","auth","one_time_tokens","relates_to","text NOT NULL","null"
"COLUMN","auth","one_time_tokens","token_hash","text NOT NULL","null"
"COLUMN","auth","one_time_tokens","token_type","auth.one_time_token_type NOT NULL","null"
"COLUMN","auth","one_time_tokens","updated_at","timestamp without time zone NOT NULL DEFAULT now()","null"
"COLUMN","auth","one_time_tokens","user_id","uuid NOT NULL","null"
"COLUMN","auth","refresh_tokens","created_at","timestamp with time zone","null"
"COLUMN","auth","refresh_tokens","id","bigint NOT NULL DEFAULT nextval('auth.refresh_tokens_id_seq'::regclass)","null"
"COLUMN","auth","refresh_tokens","instance_id","uuid","null"
"COLUMN","auth","refresh_tokens","parent","character varying(255)","null"
"COLUMN","auth","refresh_tokens","revoked","boolean","null"
"COLUMN","auth","refresh_tokens","session_id","uuid","null"
"COLUMN","auth","refresh_tokens","token","character varying(255)","null"
"COLUMN","auth","refresh_tokens","updated_at","timestamp with time zone","null"
"COLUMN","auth","refresh_tokens","user_id","character varying(255)","null"
"COLUMN","auth","saml_providers","attribute_mapping","jsonb","null"
"COLUMN","auth","saml_providers","created_at","timestamp with time zone","null"
"COLUMN","auth","saml_providers","entity_id","text NOT NULL","null"
"COLUMN","auth","saml_providers","id","uuid NOT NULL","null"
"COLUMN","auth","saml_providers","metadata_url","text","null"
"COLUMN","auth","saml_providers","metadata_xml","text NOT NULL","null"
"COLUMN","auth","saml_providers","name_id_format","text","null"
"COLUMN","auth","saml_providers","sso_provider_id","uuid NOT NULL","null"
"COLUMN","auth","saml_providers","updated_at","timestamp with time zone","null"
"COLUMN","auth","saml_relay_states","created_at","timestamp with time zone","null"
"COLUMN","auth","saml_relay_states","flow_state_id","uuid","null"
"COLUMN","auth","saml_relay_states","for_email","text","null"
"COLUMN","auth","saml_relay_states","id","uuid NOT NULL","null"
"COLUMN","auth","saml_relay_states","redirect_to","text","null"
"COLUMN","auth","saml_relay_states","request_id","text NOT NULL","null"
"COLUMN","auth","saml_relay_states","sso_provider_id","uuid NOT NULL","null"
"COLUMN","auth","saml_relay_states","updated_at","timestamp with time zone","null"
"COLUMN","auth","schema_migrations","version","character varying(255) NOT NULL","null"
"COLUMN","auth","sessions","aal","auth.aal_level","null"
"COLUMN","auth","sessions","created_at","timestamp with time zone","null"
"COLUMN","auth","sessions","factor_id","uuid","null"
"COLUMN","auth","sessions","id","uuid NOT NULL","null"
"COLUMN","auth","sessions","ip","inet","null"
"COLUMN","auth","sessions","not_after","timestamp with time zone","Auth: Not after is a nullable column that contains a timestamp after which the session should be regarded as expired."
"COLUMN","auth","sessions","refreshed_at","timestamp without time zone","null"
"COLUMN","auth","sessions","tag","text","null"
"COLUMN","auth","sessions","updated_at","timestamp with time zone","null"
"COLUMN","auth","sessions","user_agent","text","null"
"COLUMN","auth","sessions","user_id","uuid NOT NULL","null"
"COLUMN","auth","sso_domains","created_at","timestamp with time zone","null"
"COLUMN","auth","sso_domains","domain","text NOT NULL","null"
"COLUMN","auth","sso_domains","id","uuid NOT NULL","null"
"COLUMN","auth","sso_domains","sso_provider_id","uuid NOT NULL","null"
"COLUMN","auth","sso_domains","updated_at","timestamp with time zone","null"
"COLUMN","auth","sso_providers","created_at","timestamp with time zone","null"
"COLUMN","auth","sso_providers","id","uuid NOT NULL","null"
"COLUMN","auth","sso_providers","resource_id","text","Auth: Uniquely identifies a SSO provider according to a user-chosen resource ID (case insensitive), useful in infrastructure as code."
"COLUMN","auth","sso_providers","updated_at","timestamp with time zone","null"
"COLUMN","auth","users","aud","character varying(255)","null"
"COLUMN","auth","users","banned_until","timestamp with time zone","null"
"COLUMN","auth","users","confirmation_sent_at","timestamp with time zone","null"
"COLUMN","auth","users","confirmation_token","character varying(255)","null"
"COLUMN","auth","users","confirmed_at","timestamp with time zone DEFAULT LEAST(email_confirmed_at, phone_confirmed_at)","null"
"COLUMN","auth","users","created_at","timestamp with time zone","null"
"COLUMN","auth","users","deleted_at","timestamp with time zone","null"
"COLUMN","auth","users","email","character varying(255)","null"
"COLUMN","auth","users","email_change","character varying(255)","null"
"COLUMN","auth","users","email_change_confirm_status","smallint DEFAULT 0","null"
"COLUMN","auth","users","email_change_sent_at","timestamp with time zone","null"
"COLUMN","auth","users","email_change_token_current","character varying(255) DEFAULT ''::character varying","null"
"COLUMN","auth","users","email_change_token_new","character varying(255)","null"
"COLUMN","auth","users","email_confirmed_at","timestamp with time zone","null"
"COLUMN","auth","users","encrypted_password","character varying(255)","null"
"COLUMN","auth","users","id","uuid NOT NULL","null"
"COLUMN","auth","users","instance_id","uuid","null"
"COLUMN","auth","users","invited_at","timestamp with time zone","null"
"COLUMN","auth","users","is_anonymous","boolean NOT NULL DEFAULT false","null"
"COLUMN","auth","users","is_sso_user","boolean NOT NULL DEFAULT false","Auth: Set this column to true when the account comes from SSO. These accounts can have duplicate emails."
"COLUMN","auth","users","is_super_admin","boolean","null"
"COLUMN","auth","users","last_sign_in_at","timestamp with time zone","null"
"COLUMN","auth","users","phone","text DEFAULT NULL::character varying","null"
"COLUMN","auth","users","phone_change","text DEFAULT ''::character varying","null"
"COLUMN","auth","users","phone_change_sent_at","timestamp with time zone","null"
"COLUMN","auth","users","phone_change_token","character varying(255) DEFAULT ''::character varying","null"
"COLUMN","auth","users","phone_confirmed_at","timestamp with time zone","null"
"COLUMN","auth","users","raw_app_meta_data","jsonb","null"
"COLUMN","auth","users","raw_user_meta_data","jsonb","null"
"COLUMN","auth","users","reauthentication_sent_at","timestamp with time zone","null"
"COLUMN","auth","users","reauthentication_token","character varying(255) DEFAULT ''::character varying","null"
"COLUMN","auth","users","recovery_sent_at","timestamp with time zone","null"
"COLUMN","auth","users","recovery_token","character varying(255)","null"
"COLUMN","auth","users","role","character varying(255)","null"
"COLUMN","auth","users","updated_at","timestamp with time zone","null"
"COLUMN","pgsodium","key","associated_data","text DEFAULT 'associated'::text","null"
"COLUMN","pgsodium","key","comment","text","null"
"COLUMN","pgsodium","key","created","timestamp with time zone NOT NULL DEFAULT CURRENT_TIMESTAMP","null"
"COLUMN","pgsodium","key","expires","timestamp with time zone","null"
"COLUMN","pgsodium","key","id","uuid NOT NULL DEFAULT gen_random_uuid()","null"
"COLUMN","pgsodium","key","key_context","bytea DEFAULT '\x7067736f6469756d'::bytea","null"
"COLUMN","pgsodium","key","key_id","bigint DEFAULT nextval('pgsodium.key_key_id_seq'::regclass)","null"
"COLUMN","pgsodium","key","key_type","pgsodium.key_type","null"
"COLUMN","pgsodium","key","name","text","null"
"COLUMN","pgsodium","key","parent_key","uuid","null"
"COLUMN","pgsodium","key","raw_key","bytea","null"
"COLUMN","pgsodium","key","raw_key_nonce","bytea","null"
"COLUMN","pgsodium","key","status","pgsodium.key_status DEFAULT 'valid'::pgsodium.key_status","null"
"COLUMN","pgsodium","key","user_data","text","null"
"COLUMN","public","comment_votes","comment_id","uuid NOT NULL","null"
"COLUMN","public","comment_votes","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","comment_votes","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","comment_votes","user_id","uuid NOT NULL","null"
"COLUMN","public","comment_votes","vote_type","vote_type NOT NULL","null"
"COLUMN","public","comments","content","text NOT NULL","null"
"COLUMN","public","comments","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","comments","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","comments","parent_id","uuid","null"
"COLUMN","public","comments","post_id","uuid NOT NULL","null"
"COLUMN","public","comments","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","comments","user_id","uuid NOT NULL","null"
"COLUMN","public","conversation_participants","conversation_id","uuid NOT NULL","null"
"COLUMN","public","conversation_participants","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","conversation_participants","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","conversation_participants","user_id","uuid NOT NULL","null"
"COLUMN","public","conversations","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","conversations","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","conversations","is_group","boolean DEFAULT false","null"
"COLUMN","public","conversations","name","character varying(100)","null"
"COLUMN","public","conversations","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","friendships","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","friendships","friend_id","uuid NOT NULL","null"
"COLUMN","public","friendships","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","friendships","status","friendship_status DEFAULT 'pending'::friendship_status","null"
"COLUMN","public","friendships","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","friendships","user_id","uuid NOT NULL","null"
"COLUMN","public","group_members","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","group_members","group_id","uuid NOT NULL","null"
"COLUMN","public","group_members","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","group_members","role","member_role DEFAULT 'member'::member_role","null"
"COLUMN","public","group_members","user_id","uuid NOT NULL","null"
"COLUMN","public","groups","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","groups","description","text","null"
"COLUMN","public","groups","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","groups","name","character varying(100) NOT NULL","null"
"COLUMN","public","groups","privacy","group_privacy DEFAULT 'public'::group_privacy","null"
"COLUMN","public","groups","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","likes","comment_id","uuid","null"
"COLUMN","public","likes","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","likes","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","likes","post_id","uuid","null"
"COLUMN","public","likes","user_id","uuid NOT NULL","null"
"COLUMN","public","media","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","media","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","media","media_type","media_type NOT NULL","null"
"COLUMN","public","media","message_id","uuid","null"
"COLUMN","public","media","order_index","integer DEFAULT 0","null"
"COLUMN","public","media","post_id","uuid","null"
"COLUMN","public","media","url","text NOT NULL","null"
"COLUMN","public","messages","content","text NOT NULL","null"
"COLUMN","public","messages","conversation_id","uuid NOT NULL","null"
"COLUMN","public","messages","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","messages","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","messages","read","boolean DEFAULT false","null"
"COLUMN","public","messages","user_id","uuid NOT NULL","null"
"COLUMN","public","notifications","actor_id","uuid NOT NULL","null"
"COLUMN","public","notifications","content","text NOT NULL","null"
"COLUMN","public","notifications","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","notifications","icon","text","null"
"COLUMN","public","notifications","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","notifications","read","boolean DEFAULT false","null"
"COLUMN","public","notifications","resource_id","uuid NOT NULL","null"
"COLUMN","public","notifications","resource_type","character varying(50) NOT NULL","null"
"COLUMN","public","notifications","type","notification_type NOT NULL","null"
"COLUMN","public","notifications","user_id","uuid NOT NULL","null"
"COLUMN","public","posts","content","text","null"
"COLUMN","public","posts","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","posts","group_id","uuid","null"
"COLUMN","public","posts","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","posts","privacy_level","privacy_level DEFAULT 'public'::privacy_level","null"
"COLUMN","public","posts","search_vector","tsvector","null"
"COLUMN","public","posts","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","posts","user_id","uuid NOT NULL","null"
"COLUMN","public","user_hidden_posts","hidden_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","user_hidden_posts","post_id","uuid NOT NULL","null"
"COLUMN","public","user_hidden_posts","user_id","uuid NOT NULL","null"
"COLUMN","public","user_saved_posts","post_id","uuid NOT NULL","null"
"COLUMN","public","user_saved_posts","saved_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","user_saved_posts","user_id","uuid NOT NULL","null"
"COLUMN","public","users","avatar_url","text","null"
"COLUMN","public","users","bio","text","null"
"COLUMN","public","users","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","users","email","character varying(255) NOT NULL","null"
"COLUMN","public","users","full_name","character varying(100) NOT NULL","null"
"COLUMN","public","users","id","uuid NOT NULL DEFAULT uuid_generate_v4()","null"
"COLUMN","public","users","privacy_settings","jsonb DEFAULT '{"posts_visibility": "public", "profile_visibility": "public"}'::jsonb","null"
"COLUMN","public","users","theme","theme_option DEFAULT 'light'::theme_option","null"
"COLUMN","public","users","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","public","users","username","character varying(50) NOT NULL","null"
"COLUMN","realtime","schema_migrations","inserted_at","timestamp(0) without time zone","null"
"COLUMN","realtime","schema_migrations","version","bigint NOT NULL","null"
"COLUMN","realtime","subscription","claims","jsonb NOT NULL","null"
"COLUMN","realtime","subscription","claims_role","regrole NOT NULL DEFAULT realtime.to_regrole((claims ->> 'role'::text))","null"
"COLUMN","realtime","subscription","created_at","timestamp without time zone NOT NULL DEFAULT timezone('utc'::text, now())","null"
"COLUMN","realtime","subscription","entity","regclass NOT NULL","null"
"COLUMN","realtime","subscription","filters","realtime.user_defined_filter[] NOT NULL DEFAULT '{}'::realtime.user_defined_filter[]","null"
"COLUMN","realtime","subscription","id","bigint NOT NULL","null"
"COLUMN","realtime","subscription","subscription_id","uuid NOT NULL","null"
"COLUMN","storage","buckets","allowed_mime_types","text[]","null"
"COLUMN","storage","buckets","avif_autodetection","boolean DEFAULT false","null"
"COLUMN","storage","buckets","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","storage","buckets","file_size_limit","bigint","null"
"COLUMN","storage","buckets","id","text NOT NULL","null"
"COLUMN","storage","buckets","name","text NOT NULL","null"
"COLUMN","storage","buckets","owner","uuid","Field is deprecated, use owner_id instead"
"COLUMN","storage","buckets","owner_id","text","null"
"COLUMN","storage","buckets","public","boolean DEFAULT false","null"
"COLUMN","storage","buckets","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","storage","migrations","executed_at","timestamp without time zone DEFAULT CURRENT_TIMESTAMP","null"
"COLUMN","storage","migrations","hash","character varying(40) NOT NULL","null"
"COLUMN","storage","migrations","id","integer NOT NULL","null"
"COLUMN","storage","migrations","name","character varying(100) NOT NULL","null"
"COLUMN","storage","objects","bucket_id","text","null"
"COLUMN","storage","objects","created_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","storage","objects","id","uuid NOT NULL DEFAULT gen_random_uuid()","null"
"COLUMN","storage","objects","last_accessed_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","storage","objects","metadata","jsonb","null"
"COLUMN","storage","objects","name","text","null"
"COLUMN","storage","objects","owner","uuid","Field is deprecated, use owner_id instead"
"COLUMN","storage","objects","owner_id","text","null"
"COLUMN","storage","objects","path_tokens","text[] DEFAULT string_to_array(name, '/'::text)","null"
"COLUMN","storage","objects","updated_at","timestamp with time zone DEFAULT now()","null"
"COLUMN","storage","objects","user_metadata","jsonb","null"
"COLUMN","storage","objects","version","text","null"
"COLUMN","storage","s3_multipart_uploads","bucket_id","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads","created_at","timestamp with time zone NOT NULL DEFAULT now()","null"
"COLUMN","storage","s3_multipart_uploads","id","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads","in_progress_size","bigint NOT NULL DEFAULT 0","null"
"COLUMN","storage","s3_multipart_uploads","key","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads","owner_id","text","null"
"COLUMN","storage","s3_multipart_uploads","upload_signature","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads","user_metadata","jsonb","null"
"COLUMN","storage","s3_multipart_uploads","version","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","bucket_id","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","created_at","timestamp with time zone NOT NULL DEFAULT now()","null"
"COLUMN","storage","s3_multipart_uploads_parts","etag","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","id","uuid NOT NULL DEFAULT gen_random_uuid()","null"
"COLUMN","storage","s3_multipart_uploads_parts","key","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","owner_id","text","null"
"COLUMN","storage","s3_multipart_uploads_parts","part_number","integer NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","size","bigint NOT NULL DEFAULT 0","null"
"COLUMN","storage","s3_multipart_uploads_parts","upload_id","text NOT NULL","null"
"COLUMN","storage","s3_multipart_uploads_parts","version","text NOT NULL","null"
"COLUMN","vault","secrets","created_at","timestamp with time zone NOT NULL DEFAULT CURRENT_TIMESTAMP","null"
"COLUMN","vault","secrets","description","text NOT NULL DEFAULT ''::text","null"
"COLUMN","vault","secrets","id","uuid NOT NULL DEFAULT gen_random_uuid()","null"
"COLUMN","vault","secrets","key_id","uuid DEFAULT (pgsodium.create_key()).id","null"
"COLUMN","vault","secrets","name","text","null"
"COLUMN","vault","secrets","nonce","bytea DEFAULT pgsodium.crypto_aead_det_noncegen()","null"
"COLUMN","vault","secrets","secret","text NOT NULL","null"
"COLUMN","vault","secrets","updated_at","timestamp with time zone NOT NULL DEFAULT CURRENT_TIMESTAMP","null"
"CONSTRAINT","auth","audit_log_entries","audit_log_entries_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","flow_state","flow_state_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","identities","identities_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","identities","identities_provider_id_provider_unique","UNIQUE (provider_id, provider)","UNIQUE"
"CONSTRAINT","auth","identities","identities_user_id_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","instances","instances_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","mfa_amr_claims","amr_id_pk","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","mfa_amr_claims","mfa_amr_claims_session_id_authentication_method_pkey","UNIQUE (session_id, authentication_method)","UNIQUE"
"CONSTRAINT","auth","mfa_amr_claims","mfa_amr_claims_session_id_fkey","FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","mfa_challenges","mfa_challenges_auth_factor_id_fkey","FOREIGN KEY (factor_id) REFERENCES auth.mfa_factors(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","mfa_challenges","mfa_challenges_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","mfa_factors","mfa_factors_last_challenged_at_key","UNIQUE (last_challenged_at)","UNIQUE"
"CONSTRAINT","auth","mfa_factors","mfa_factors_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","mfa_factors","mfa_factors_user_id_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","one_time_tokens","one_time_tokens_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","one_time_tokens","one_time_tokens_token_hash_check","CHECK ((char_length(token_hash) > 0))","CHECK"
"CONSTRAINT","auth","one_time_tokens","one_time_tokens_user_id_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","refresh_tokens","refresh_tokens_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","refresh_tokens","refresh_tokens_session_id_fkey","FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","refresh_tokens","refresh_tokens_token_unique","UNIQUE (token)","UNIQUE"
"CONSTRAINT","auth","saml_providers","entity_id not empty","CHECK ((char_length(entity_id) > 0))","CHECK"
"CONSTRAINT","auth","saml_providers","metadata_url not empty","CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0)))","CHECK"
"CONSTRAINT","auth","saml_providers","metadata_xml not empty","CHECK ((char_length(metadata_xml) > 0))","CHECK"
"CONSTRAINT","auth","saml_providers","saml_providers_entity_id_key","UNIQUE (entity_id)","UNIQUE"
"CONSTRAINT","auth","saml_providers","saml_providers_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","saml_providers","saml_providers_sso_provider_id_fkey","FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","saml_relay_states","request_id not empty","CHECK ((char_length(request_id) > 0))","CHECK"
"CONSTRAINT","auth","saml_relay_states","saml_relay_states_flow_state_id_fkey","FOREIGN KEY (flow_state_id) REFERENCES auth.flow_state(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","saml_relay_states","saml_relay_states_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","saml_relay_states","saml_relay_states_sso_provider_id_fkey","FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","schema_migrations","schema_migrations_pkey","PRIMARY KEY (version)","PRIMARY KEY"
"CONSTRAINT","auth","sessions","sessions_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","sessions","sessions_user_id_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","sso_domains","domain not empty","CHECK ((char_length(domain) > 0))","CHECK"
"CONSTRAINT","auth","sso_domains","sso_domains_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","sso_domains","sso_domains_sso_provider_id_fkey","FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE","FOREIGN KEY"
"CONSTRAINT","auth","sso_providers","resource_id not empty","CHECK (((resource_id = NULL::text) OR (char_length(resource_id) > 0)))","CHECK"
"CONSTRAINT","auth","sso_providers","sso_providers_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","auth","users","users_email_change_confirm_status_check","CHECK (((email_change_confirm_status >= 0) AND (email_change_confirm_status <= 2)))","CHECK"
"CONSTRAINT","auth","users","users_phone_key","UNIQUE (phone)","UNIQUE"
"CONSTRAINT","auth","users","users_pkey","PRIMARY KEY (id)","PRIMARY KEY"
"CONSTRAINT","pgsodium","key","key_key_context_check","CHECK ((length(key_context) = 8))","CHECK"
"CONSTRAINT","pgsodium","key","key_parent_key_fkey","FOREIGN KEY (parent_key) REFERENCES pgsodium.key(id)","FOREIGN KEY"
"CONSTRAINT","pgsodium","key","key_pkey","PRIMARY KEY (id)","PRIMARY KEY"
