"table_name","column_name","data_type","is_nullable","column_default","primary_key","foreign_key"
"messages","user_id","uuid","NO","null","","FK -> users.id"
"messages","content","text","NO","null","",""
"messages","read","boolean","YES","false","",""
"messages","created_at","timestamp with time zone","YES","now()","",""
"notifications","id","uuid","NO","uuid_generate_v4()","PK",""
"notifications","user_id","uuid","NO","null","","FK -> users.id"
"notifications","type","USER-DEFINED","NO","null","",""
"notifications","content","text","NO","null","",""
"notifications","icon","text","YES","null","",""
"notifications","actor_id","uuid","NO","null","","FK -> users.id"
"notifications","resource_id","uuid","NO","null","",""
"notifications","resource_type","character varying","NO","null","",""
"notifications","read","boolean","YES","false","",""
"notifications","created_at","timestamp with time zone","YES","now()","",""
"post_like_counts","post_id","uuid","NO","null","PK","FK -> posts.id"
"post_like_counts","count","integer","NO","0","",""
"post_share_counts","post_id","uuid","NO","null","PK","FK -> posts.id"
"post_share_counts","count","integer","NO","0","",""
"posts","id","uuid","NO","uuid_generate_v4()","PK",""
"posts","user_id","uuid","NO","null","","FK -> users.id"
"posts","content","text","YES","null","",""
"posts","privacy_level","USER-DEFINED","YES","'public'::privacy_level","",""
"posts","group_id","uuid","YES","null","","FK -> groups.id"
"posts","created_at","timestamp with time zone","YES","now()","",""
"posts","updated_at","timestamp with time zone","YES","now()","",""
"posts","search_vector","tsvector","YES","null","",""
"posts","shared_post_id","uuid","YES","null","","FK -> posts.id"
"user_hidden_posts","user_id","uuid","NO","null","PK","FK -> users.id"
"user_hidden_posts","post_id","uuid","NO","null","PK","FK -> posts.id"
"user_hidden_posts","hidden_at","timestamp with time zone","YES","now()","",""
"user_profile_posts","id","uuid","YES","null","",""
"user_profile_posts","user_id","uuid","YES","null","",""
"user_profile_posts","content","text","YES","null","",""
"user_profile_posts","privacy_level","USER-DEFINED","YES","null","",""
"user_profile_posts","group_id","uuid","YES","null","",""
"user_profile_posts","created_at","timestamp with time zone","YES","null","",""
"user_profile_posts","updated_at","timestamp with time zone","YES","null","",""
"user_profile_posts","search_vector","tsvector","YES","null","",""
"user_profile_posts","like_count","bigint","YES","null","",""
"user_profile_posts","comment_count","bigint","YES","null","",""
"user_saved_posts","user_id","uuid","NO","null","PK","FK -> users.id"
"user_saved_posts","post_id","uuid","NO","null","PK","FK -> posts.id"
"user_saved_posts","saved_at","timestamp with time zone","YES","now()","",""
"users","id","uuid","NO","uuid_generate_v4()","PK",""
"users","email","character varying","NO","null","",""
"users","username","character varying","NO","null","",""
"users","full_name","character varying","NO","null","",""
"users","avatar_url","text","YES","null","",""
"users","bio","text","YES","null","",""
"users","theme","USER-DEFINED","YES","'light'::theme_option","",""
"users","privacy_settings","jsonb","YES","'{"posts_visibility": "public", "profile_visibility": "public"}'::jsonb","",""
"users","created_at","timestamp with time zone","YES","now()","",""
"users","updated_at","timestamp with time zone","YES","now()","",""
